POA_CODE_2011,POA_CODE_2011,PHN_CODE,PHN_NAME,RATIO,PERCENTAGE
2137,2137,PHN101,Central and Eastern Sydney,1,100
2138,2138,PHN101,Central and Eastern Sydney,1,100
2139,2139,PHN101,Central and Eastern Sydney,1,100
2140,2140,PHN101,Central and Eastern Sydney,1,100
2141,2141,PHN103,Western Sydney,1,100
2142,2142,PHN103,Western Sydney,1,100
2143,2143,PHN103,Western Sydney,0.5126619,51.2661893
2143,2143,PHN105,South Western Sydney,0.4873381,48.7338107
2144,2144,PHN103,Western Sydney,1,100
2145,2145,PHN103,Western Sydney,1,100
2146,2146,PHN103,Western Sydney,1,100
2147,2147,PHN103,Western Sydney,1,100
2148,2148,PHN103,Western Sydney,1,100
2150,2150,PHN103,Western Sydney,1,100
2151,2151,PHN103,Western Sydney,1,100
2152,2152,PHN103,Western Sydney,1,100
2153,2153,PHN103,Western Sydney,1,100
2154,2154,PHN102,Northern Sydney,0.1471103,14.7110269
2154,2154,PHN103,Western Sydney,0.8528897,85.2889731
2155,2155,PHN103,Western Sydney,1,100
2156,2156,PHN102,Northern Sydney,0.0198396,1.9839603
2156,2156,PHN103,Western Sydney,0.9801604,98.0160397
2157,2157,PHN102,Northern Sydney,0.4775403,47.7540309
2157,2157,PHN103,Western Sydney,0.5224597,52.2459691
2158,2158,PHN102,Northern Sydney,0.6576184,65.7618363
2158,2158,PHN103,Western Sydney,0.3423816,34.2381637
2159,2159,PHN102,Northern Sydney,1,100
2160,2160,PHN103,Western Sydney,1,100
2161,2161,PHN103,Western Sydney,0.8588357,85.8835698
2161,2161,PHN105,South Western Sydney,0.1411643,14.1164302
2162,2162,PHN103,Western Sydney,0.0420938,4.2093766
2162,2162,PHN105,South Western Sydney,0.9579062,95.7906234
2163,2163,PHN105,South Western Sydney,1,100
2164,2164,PHN103,Western Sydney,0.0724261,7.2426136
2164,2164,PHN105,South Western Sydney,0.9275739,92.7573864
2165,2165,PHN103,Western Sydney,0.0036694,0.3669408
2165,2165,PHN105,South Western Sydney,0.9963306,99.6330592
2166,2166,PHN105,South Western Sydney,1,100
2167,2167,PHN105,South Western Sydney,1,100
2168,2168,PHN105,South Western Sydney,1,100
2170,2170,PHN105,South Western Sydney,1,100
2171,2171,PHN105,South Western Sydney,1,100
2172,2172,PHN101,Central and Eastern Sydney,0.2625048,26.2504842
2172,2172,PHN105,South Western Sydney,0.7374952,73.7495158
2173,2173,PHN105,South Western Sydney,0.9999998,99.9999774
2174,2174,PHN105,South Western Sydney,1,100
2175,2175,PHN105,South Western Sydney,1,100
2176,2176,PHN105,South Western Sydney,1,100
2177,2177,PHN105,South Western Sydney,1,100
2178,2178,PHN104,Nepean Blue Mountains,0.3447352,34.4735247
2178,2178,PHN105,South Western Sydney,0.6552648,65.5264753
2179,2179,PHN105,South Western Sydney,1,100
2190,2190,PHN101,Central and Eastern Sydney,0.058074,5.8073982
2190,2190,PHN105,South Western Sydney,0.941926,94.1926018
2191,2191,PHN101,Central and Eastern Sydney,1,100
2192,2192,PHN101,Central and Eastern Sydney,1,100
2193,2193,PHN101,Central and Eastern Sydney,1,100
2194,2194,PHN101,Central and Eastern Sydney,1,100
2195,2195,PHN101,Central and Eastern Sydney,1,100
2196,2196,PHN101,Central and Eastern Sydney,0.7505662,75.0566196
2196,2196,PHN105,South Western Sydney,0.2494338,24.9433804
2197,2197,PHN105,South Western Sydney,1,100
2198,2198,PHN105,South Western Sydney,1,100
2199,2199,PHN105,South Western Sydney,1,100
2200,2200,PHN105,South Western Sydney,1,100
2203,2203,PHN101,Central and Eastern Sydney,1,100
2204,2204,PHN101,Central and Eastern Sydney,1,100
2205,2205,PHN101,Central and Eastern Sydney,1,100
2206,2206,PHN101,Central and Eastern Sydney,1,100
2207,2207,PHN101,Central and Eastern Sydney,1,100
2208,2208,PHN101,Central and Eastern Sydney,1,100
2209,2209,PHN101,Central and Eastern Sydney,1,100
2210,2210,PHN101,Central and Eastern Sydney,1,100
2211,2211,PHN105,South Western Sydney,1,100
2212,2212,PHN105,South Western Sydney,1,100
2213,2213,PHN105,South Western Sydney,1,100
2214,2214,PHN105,South Western Sydney,1,100
2216,2216,PHN101,Central and Eastern Sydney,1,100
2217,2217,PHN101,Central and Eastern Sydney,1,100
2218,2218,PHN101,Central and Eastern Sydney,1,100
2219,2219,PHN101,Central and Eastern Sydney,1,100
2220,2220,PHN101,Central and Eastern Sydney,1,100
2221,2221,PHN101,Central and Eastern Sydney,1,100
2222,2222,PHN101,Central and Eastern Sydney,1,100
2223,2223,PHN101,Central and Eastern Sydney,1,100
2224,2224,PHN101,Central and Eastern Sydney,1,100
2225,2225,PHN101,Central and Eastern Sydney,1,100
2226,2226,PHN101,Central and Eastern Sydney,1,100
2227,2227,PHN101,Central and Eastern Sydney,1,100
2228,2228,PHN101,Central and Eastern Sydney,1,100
2229,2229,PHN101,Central and Eastern Sydney,1,100
2230,2230,PHN101,Central and Eastern Sydney,1,100
2231,2231,PHN101,Central and Eastern Sydney,1,100
2232,2232,PHN101,Central and Eastern Sydney,1,100
2233,2233,PHN101,Central and Eastern Sydney,1,100
2234,2234,PHN101,Central and Eastern Sydney,1,100
2250,2250,PHN108,Hunter New England and Central Coast,1,100
2251,2251,PHN108,Hunter New England and Central Coast,1,100
2256,2256,PHN108,Hunter New England and Central Coast,1,100
2257,2257,PHN108,Hunter New England and Central Coast,1,100
2258,2258,PHN108,Hunter New England and Central Coast,1,100
2259,2259,PHN108,Hunter New England and Central Coast,1,100
2260,2260,PHN108,Hunter New England and Central Coast,1,100
2261,2261,PHN108,Hunter New England and Central Coast,1,100
2262,2262,PHN108,Hunter New England and Central Coast,1,100
2263,2263,PHN108,Hunter New England and Central Coast,1,100
2264,2264,PHN108,Hunter New England and Central Coast,1,100
2265,2265,PHN108,Hunter New England and Central Coast,1,100
2267,2267,PHN108,Hunter New England and Central Coast,1,100
2278,2278,PHN108,Hunter New England and Central Coast,1,100
2280,2280,PHN108,Hunter New England and Central Coast,1,100
2281,2281,PHN108,Hunter New England and Central Coast,1,100
2282,2282,PHN108,Hunter New England and Central Coast,1,100
2283,2283,PHN108,Hunter New England and Central Coast,1,100
2284,2284,PHN108,Hunter New England and Central Coast,1,100
2285,2285,PHN108,Hunter New England and Central Coast,1,100
2286,2286,PHN108,Hunter New England and Central Coast,1,100
2287,2287,PHN108,Hunter New England and Central Coast,1,100
2289,2289,PHN108,Hunter New England and Central Coast,1,100
2290,2290,PHN108,Hunter New England and Central Coast,1,100
2291,2291,PHN108,Hunter New England and Central Coast,1,100
2292,2292,PHN108,Hunter New England and Central Coast,1,100
2293,2293,PHN108,Hunter New England and Central Coast,1,100
2294,2294,PHN108,Hunter New England and Central Coast,1,100
2295,2295,PHN108,Hunter New England and Central Coast,1,100
2296,2296,PHN108,Hunter New England and Central Coast,1,100
2297,2297,PHN108,Hunter New England and Central Coast,1,100
2298,2298,PHN108,Hunter New England and Central Coast,1,100
2299,2299,PHN108,Hunter New England and Central Coast,1,100
2300,2300,PHN108,Hunter New England and Central Coast,1,100
2302,2302,PHN108,Hunter New England and Central Coast,1,100
2303,2303,PHN108,Hunter New England and Central Coast,1,100
2304,2304,PHN108,Hunter New England and Central Coast,1,100
2305,2305,PHN108,Hunter New England and Central Coast,1,100
2306,2306,PHN108,Hunter New England and Central Coast,1,100
2307,2307,PHN108,Hunter New England and Central Coast,1,100
2308,2308,PHN108,Hunter New England and Central Coast,1,100
2311,2311,PHN108,Hunter New England and Central Coast,1,100
2312,2312,PHN108,Hunter New England and Central Coast,1,100
2314,2314,PHN108,Hunter New England and Central Coast,1,100
2315,2315,PHN108,Hunter New England and Central Coast,1,100
2316,2316,PHN108,Hunter New England and Central Coast,1,100
2317,2317,PHN108,Hunter New England and Central Coast,1,100
2318,2318,PHN108,Hunter New England and Central Coast,1,100
2319,2319,PHN108,Hunter New England and Central Coast,1,100
2320,2320,PHN108,Hunter New England and Central Coast,1,100
2321,2321,PHN108,Hunter New England and Central Coast,1,100
2322,2322,PHN108,Hunter New England and Central Coast,1,100
2323,2323,PHN108,Hunter New England and Central Coast,1,100
2324,2324,PHN108,Hunter New England and Central Coast,1,100
2325,2325,PHN108,Hunter New England and Central Coast,1,100
2326,2326,PHN108,Hunter New England and Central Coast,1,100
2327,2327,PHN108,Hunter New England and Central Coast,1,100
2328,2328,PHN108,Hunter New England and Central Coast,1,100
2329,2329,PHN108,Hunter New England and Central Coast,1,100
2330,2330,PHN108,Hunter New England and Central Coast,1,100
2333,2333,PHN108,Hunter New England and Central Coast,1,100
2334,2334,PHN108,Hunter New England and Central Coast,1,100
2335,2335,PHN108,Hunter New England and Central Coast,1,100
2336,2336,PHN108,Hunter New England and Central Coast,1,100
2337,2337,PHN108,Hunter New England and Central Coast,1,100
2338,2338,PHN108,Hunter New England and Central Coast,1,100
2339,2339,PHN108,Hunter New England and Central Coast,1,100
2340,2340,PHN108,Hunter New England and Central Coast,1,100
2341,2341,PHN108,Hunter New England and Central Coast,1,100
2342,2342,PHN108,Hunter New England and Central Coast,1,100
2343,2343,PHN108,Hunter New England and Central Coast,1,100
2344,2344,PHN108,Hunter New England and Central Coast,1,100
2345,2345,PHN108,Hunter New England and Central Coast,1,100
2346,2346,PHN108,Hunter New England and Central Coast,1,100
2347,2347,PHN108,Hunter New England and Central Coast,1,100
2350,2350,PHN108,Hunter New England and Central Coast,1,100
2351,2351,PHN108,Hunter New England and Central Coast,1,100
2352,2352,PHN108,Hunter New England and Central Coast,1,100
2353,2353,PHN108,Hunter New England and Central Coast,1,100
2354,2354,PHN108,Hunter New England and Central Coast,1,100
2355,2355,PHN108,Hunter New England and Central Coast,1,100
2357,2357,PHN107,Western NSW,1,100
2358,2358,PHN108,Hunter New England and Central Coast,1,100
2359,2359,PHN108,Hunter New England and Central Coast,1,100
2360,2360,PHN108,Hunter New England and Central Coast,1,100
2361,2361,PHN108,Hunter New England and Central Coast,1,100
2365,2365,PHN108,Hunter New England and Central Coast,1,100
2369,2369,PHN108,Hunter New England and Central Coast,1,100
2370,2370,PHN108,Hunter New England and Central Coast,1,100
2371,2371,PHN108,Hunter New England and Central Coast,1,100
2372,2372,PHN108,Hunter New England and Central Coast,1,100
2380,2380,PHN108,Hunter New England and Central Coast,1,100
2381,2381,PHN108,Hunter New England and Central Coast,1,100
2382,2382,PHN108,Hunter New England and Central Coast,1,100
2386,2386,PHN107,Western NSW,1,100
2388,2388,PHN108,Hunter New England and Central Coast,1,100
2390,2390,PHN108,Hunter New England and Central Coast,1,100
2395,2395,PHN107,Western NSW,1,100
2396,2396,PHN107,Western NSW,1,100
2397,2397,PHN108,Hunter New England and Central Coast,1,100
2399,2399,PHN108,Hunter New England and Central Coast,1,100
2400,2400,PHN108,Hunter New England and Central Coast,1,100
2401,2401,PHN108,Hunter New England and Central Coast,1,100
2402,2402,PHN108,Hunter New England and Central Coast,1,100
2403,2403,PHN108,Hunter New England and Central Coast,1,100
2404,2404,PHN108,Hunter New England and Central Coast,1,100
2405,2405,PHN108,Hunter New England and Central Coast,1,100
2406,2406,PHN108,Hunter New England and Central Coast,1,100
2408,2408,PHN108,Hunter New England and Central Coast,1,100
2409,2409,PHN108,Hunter New England and Central Coast,1,100
2410,2410,PHN108,Hunter New England and Central Coast,1,100
2415,2415,PHN108,Hunter New England and Central Coast,1,100
2420,2420,PHN108,Hunter New England and Central Coast,1,100
2421,2421,PHN108,Hunter New England and Central Coast,1,100
2422,2422,PHN108,Hunter New England and Central Coast,1,100
2423,2423,PHN108,Hunter New England and Central Coast,1,100
2424,2424,PHN108,Hunter New England and Central Coast,1,100
2425,2425,PHN108,Hunter New England and Central Coast,1,100
2426,2426,PHN108,Hunter New England and Central Coast,1,100
2427,2427,PHN108,Hunter New England and Central Coast,1,100
2428,2428,PHN108,Hunter New England and Central Coast,1,100
2429,2429,PHN108,Hunter New England and Central Coast,0.9523505,95.2350474
2429,2429,PHN109,North Coast,0.0476495,4.7649526
2430,2430,PHN108,Hunter New England and Central Coast,1,100
2431,2431,PHN109,North Coast,1,100
2439,2439,PHN109,North Coast,1,100
2440,2440,PHN108,Hunter New England and Central Coast,0.0025259,0.252595
2440,2440,PHN109,North Coast,0.9974741,99.747405
2441,2441,PHN109,North Coast,1,100
2443,2443,PHN108,Hunter New England and Central Coast,0.1617485,16.1748478
2443,2443,PHN109,North Coast,0.8382515,83.8251522
2444,2444,PHN109,North Coast,1,100
2445,2445,PHN109,North Coast,1,100
2446,2446,PHN109,North Coast,1,100
2447,2447,PHN109,North Coast,1,100
2448,2448,PHN109,North Coast,1,100
2449,2449,PHN109,North Coast,1,100
2450,2450,PHN109,North Coast,1,100
2452,2452,PHN109,North Coast,1,100
2453,2453,PHN109,North Coast,1,100
2454,2454,PHN109,North Coast,1,100
2455,2455,PHN109,North Coast,1,100
2456,2456,PHN109,North Coast,1,100
2460,2460,PHN109,North Coast,1,100
2462,2462,PHN109,North Coast,1,100
2463,2463,PHN109,North Coast,1,100
2464,2464,PHN109,North Coast,1,100
2465,2465,PHN109,North Coast,1,100
2466,2466,PHN109,North Coast,1,100
2469,2469,PHN108,Hunter New England and Central Coast,0.191065,19.1064983
2469,2469,PHN109,North Coast,0.808935,80.8935017
2470,2470,PHN109,North Coast,1,100
2471,2471,PHN109,North Coast,1,100
2472,2472,PHN109,North Coast,1,100
2473,2473,PHN109,North Coast,1,100
2474,2474,PHN109,North Coast,1,100
2475,2475,PHN109,North Coast,1,100
2476,2476,PHN108,Hunter New England and Central Coast,0.3635983,36.3598318
2476,2476,PHN109,North Coast,0.6364017,63.6401682
2477,2477,PHN109,North Coast,1,100
2478,2478,PHN109,North Coast,1,100
2479,2479,PHN109,North Coast,1,100
2480,2480,PHN109,North Coast,1,100
2481,2481,PHN109,North Coast,1,100
2482,2482,PHN109,North Coast,1,100
2483,2483,PHN109,North Coast,1,100
2484,2484,PHN109,North Coast,1,100
2485,2485,PHN109,North Coast,1,100
2486,2486,PHN109,North Coast,1,100
2487,2487,PHN109,North Coast,1,100
2488,2488,PHN109,North Coast,1,100
2489,2489,PHN109,North Coast,1,100
2490,2490,PHN109,North Coast,1,100
2500,2500,PHN106,South Eastern NSW,1,100
2502,2502,PHN106,South Eastern NSW,1,100
2505,2505,PHN106,South Eastern NSW,1,100
2506,2506,PHN106,South Eastern NSW,1,100
2508,2508,PHN105,South Western Sydney,0.0031205,0.3120482
2508,2508,PHN106,South Eastern NSW,0.9968794,99.6879402
2515,2515,PHN106,South Eastern NSW,1,100
2516,2516,PHN106,South Eastern NSW,1,100
2517,2517,PHN106,South Eastern NSW,1,100
2518,2518,PHN106,South Eastern NSW,1,100
2519,2519,PHN106,South Eastern NSW,1,100
2525,2525,PHN106,South Eastern NSW,1,100
2526,2526,PHN106,South Eastern NSW,1,100
2527,2527,PHN106,South Eastern NSW,1,100
2528,2528,PHN106,South Eastern NSW,1,100
2529,2529,PHN106,South Eastern NSW,1,100
2530,2530,PHN106,South Eastern NSW,1,100
2533,2533,PHN106,South Eastern NSW,1,100
2534,2534,PHN106,South Eastern NSW,1,100
2535,2535,PHN106,South Eastern NSW,1,100
2536,2536,PHN106,South Eastern NSW,1,100
2537,2537,PHN106,South Eastern NSW,1,100
2538,2538,PHN106,South Eastern NSW,1,100
2539,2539,PHN106,South Eastern NSW,1,100
2540,2540,PHN106,South Eastern NSW,1,100
2541,2541,PHN106,South Eastern NSW,1,100
2545,2545,PHN106,South Eastern NSW,1,100
2546,2546,PHN106,South Eastern NSW,1,100
2548,2548,PHN106,South Eastern NSW,1,100
2549,2549,PHN106,South Eastern NSW,1,100
2550,2550,PHN106,South Eastern NSW,1,100
2551,2551,PHN106,South Eastern NSW,1,100
2555,2555,PHN105,South Western Sydney,1,100
2556,2556,PHN105,South Western Sydney,1,100
2557,2557,PHN105,South Western Sydney,1,100
2558,2558,PHN105,South Western Sydney,1,100
2559,2559,PHN105,South Western Sydney,1,100
2560,2560,PHN105,South Western Sydney,1,100
2563,2563,PHN105,South Western Sydney,1,100
2564,2564,PHN105,South Western Sydney,1,100
2565,2565,PHN105,South Western Sydney,1,100
2566,2566,PHN105,South Western Sydney,1,100
2567,2567,PHN105,South Western Sydney,1,100
2568,2568,PHN105,South Western Sydney,1,100
2569,2569,PHN105,South Western Sydney,1,100
2570,2570,PHN105,South Western Sydney,1,100
2571,2571,PHN105,South Western Sydney,1,100
2572,2572,PHN105,South Western Sydney,1,100
2573,2573,PHN105,South Western Sydney,1,100
2574,2574,PHN105,South Western Sydney,0.9994406,99.9440578
2574,2574,PHN106,South Eastern NSW,0.0005594,0.0559422
2575,2575,PHN105,South Western Sydney,1,100
2576,2576,PHN105,South Western Sydney,1,100
2577,2577,PHN105,South Western Sydney,0.9076143,90.7614291
2577,2577,PHN106,South Eastern NSW,0.0923857,9.2385709
2578,2578,PHN105,South Western Sydney,1,100
2579,2579,PHN105,South Western Sydney,0.4169223,41.6922311
2579,2579,PHN106,South Eastern NSW,0.5830777,58.3077689
2580,2580,PHN105,South Western Sydney,0.0001476,0.0147597
2580,2580,PHN106,South Eastern NSW,0.9998524,99.9852403
2581,2581,PHN106,South Eastern NSW,1,100
2582,2582,PHN106,South Eastern NSW,0.9999999,99.9999911
2583,2583,PHN106,South Eastern NSW,1,100
2584,2584,PHN106,South Eastern NSW,1,100
2585,2585,PHN110,Murrumbidgee,1,100
2586,2586,PHN110,Murrumbidgee,1,100
2587,2587,PHN110,Murrumbidgee,1,100
2588,2588,PHN110,Murrumbidgee,1,100
2590,2590,PHN110,Murrumbidgee,1,100
2594,2594,PHN110,Murrumbidgee,1,100
2600,2600,PHN801,Australian Capital Territory,1,100
2601,2601,PHN801,Australian Capital Territory,1,100
2602,2602,PHN801,Australian Capital Territory,1,100
2603,2603,PHN801,Australian Capital Territory,1,100
2604,2604,PHN801,Australian Capital Territory,1,100
2605,2605,PHN801,Australian Capital Territory,1,100
2606,2606,PHN801,Australian Capital Territory,1,100
2607,2607,PHN801,Australian Capital Territory,1,100
2609,2609,PHN801,Australian Capital Territory,1,100
2611,2611,PHN801,Australian Capital Territory,1,100
2612,2612,PHN801,Australian Capital Territory,1,100
2614,2614,PHN801,Australian Capital Territory,1,100
2615,2615,PHN801,Australian Capital Territory,1,100
2617,2617,PHN801,Australian Capital Territory,1,100
2618,2618,PHN106,South Eastern NSW,0.7615094,76.1509392
2618,2618,PHN801,Australian Capital Territory,0.2384906,23.8490608
2619,2619,PHN106,South Eastern NSW,1,100
2620,2620,PHN106,South Eastern NSW,0.9827338,98.27338
2620,2620,PHN801,Australian Capital Territory,0.0172662,1.72662
2621,2621,PHN106,South Eastern NSW,1,100
2622,2622,PHN106,South Eastern NSW,1,100
2623,2623,PHN106,South Eastern NSW,1,100
2625,2625,PHN106,South Eastern NSW,1,100
2626,2626,PHN106,South Eastern NSW,1,100
2627,2627,PHN106,South Eastern NSW,1,100
2628,2628,PHN106,South Eastern NSW,1,100
2629,2629,PHN106,South Eastern NSW,1,100
2630,2630,PHN106,South Eastern NSW,1,100
2631,2631,PHN106,South Eastern NSW,1,100
2632,2632,PHN106,South Eastern NSW,1,100
2633,2633,PHN106,South Eastern NSW,1,100
2640,2640,PHN110,Murrumbidgee,0.0061734,0.6173354
2640,2640,PHN205,Murray,0.9938266,99.3826646
2641,2641,PHN205,Murray,1,100
2642,2642,PHN110,Murrumbidgee,1,100
2643,2643,PHN110,Murrumbidgee,1,100
2644,2644,PHN110,Murrumbidgee,1,100
2645,2645,PHN110,Murrumbidgee,1,100
2646,2646,PHN110,Murrumbidgee,1,100
2647,2647,PHN110,Murrumbidgee,1,100
2648,2648,PHN107,Western NSW,1,100
2649,2649,PHN110,Murrumbidgee,1,100
2650,2650,PHN110,Murrumbidgee,1,100
2651,2651,PHN110,Murrumbidgee,1,100
2652,2652,PHN110,Murrumbidgee,1,100
2653,2653,PHN110,Murrumbidgee,1,100
2655,2655,PHN110,Murrumbidgee,1,100
2656,2656,PHN110,Murrumbidgee,1,100
2658,2658,PHN110,Murrumbidgee,1,100
2659,2659,PHN110,Murrumbidgee,1,100
2660,2660,PHN110,Murrumbidgee,1,100
2661,2661,PHN110,Murrumbidgee,1,100
2663,2663,PHN110,Murrumbidgee,1,100
