"MEASURE","Data item","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","10602","Maitland","A","Annual","2015","2015",59656,,
"INCOME_20","Employee income earners - median age (years)","SA3","Statistical Area Level 3","21005","Tullamarine - Broadmeadows","A","Annual","2011","2011",37,,
"INCOME_20","Employee income earners - median age (years)","SA3","Statistical Area Level 3","21005","Tullamarine - Broadmeadows","A","Annual","2012","2012",37,,
"INCOME_20","Employee income earners - median age (years)","SA3","Statistical Area Level 3","21005","Tullamarine - Broadmeadows","A","Annual","2013","2013",37,,
"INCOME_20","Employee income earners - median age (years)","SA3","Statistical Area Level 3","21005","Tullamarine - Broadmeadows","A","Annual","2014","2014",36,,
"INCOME_20","Employee income earners - median age (years)","SA3","Statistical Area Level 3","21005","Tullamarine - Broadmeadows","A","Annual","2015","2015",36,,
"INCOME_17","Median total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","30801","Central Highlands (Qld)","A","Annual","2011","2011",50146,,
"INCOME_17","Median total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","30801","Central Highlands (Qld)","A","Annual","2012","2012",53851,,
"INCOME_17","Median total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","30801","Central Highlands (Qld)","A","Annual","2013","2013",56436,,
"INCOME_17","Median total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","30801","Central Highlands (Qld)","A","Annual","2014","2014",54528,,
"INCOME_17","Median total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","30801","Central Highlands (Qld)","A","Annual","2015","2015",55363,,
"INCOME_18","Total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","21104","Whitehorse - East","A","Annual","2011","2011",1705603861,,
"INCOME_18","Total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","21104","Whitehorse - East","A","Annual","2012","2012",1801061116,,
"INCOME_18","Total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","21104","Whitehorse - East","A","Annual","2013","2013",1857185488,,
"INCOME_18","Total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","21104","Whitehorse - East","A","Annual","2014","2014",1938942930,,
"INCOME_18","Total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","21104","Whitehorse - East","A","Annual","2015","2015",2018121618,,
"INCOME_18","Total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","50903","Wheat Belt - South","A","Annual","2011","2011",497277406,,
"INCOME_18","Total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","50903","Wheat Belt - South","A","Annual","2012","2012",564665413,,
"INCOME_18","Total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","50903","Wheat Belt - South","A","Annual","2013","2013",635257571,,
"INCOME_18","Total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","50903","Wheat Belt - South","A","Annual","2014","2014",767387733,,
"INCOME_18","Total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","50903","Wheat Belt - South","A","Annual","2015","2015",871553837,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","31903","Gympie - Cooloola","A","Annual","2011","2011",38015,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","31903","Gympie - Cooloola","A","Annual","2012","2012",40878,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","31903","Gympie - Cooloola","A","Annual","2013","2013",42768,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","31903","Gympie - Cooloola","A","Annual","2014","2014",44258,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","31903","Gympie - Cooloola","A","Annual","2015","2015",45214,,
"INCOME_36","Mean total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","31801","Charters Towers - Ayr - Ingham","A","Annual","2011","2011",44975,,
"INCOME_36","Mean total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","31801","Charters Towers - Ayr - Ingham","A","Annual","2012","2012",50873,,
"INCOME_36","Mean total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","31801","Charters Towers - Ayr - Ingham","A","Annual","2013","2013",50282,,
"INCOME_36","Mean total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","31801","Charters Towers - Ayr - Ingham","A","Annual","2014","2014",49332,,
"INCOME_36","Mean total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","31801","Charters Towers - Ayr - Ingham","A","Annual","2015","2015",51531,,
"INCOME_4","Employee income earners (no.)","SA3","Statistical Area Level 3","21204","Dandenong","A","Annual","2011","2011",76760,,
"INCOME_4","Employee income earners (no.)","SA3","Statistical Area Level 3","21204","Dandenong","A","Annual","2012","2012",78083,,
"INCOME_4","Employee income earners (no.)","SA3","Statistical Area Level 3","21204","Dandenong","A","Annual","2013","2013",79356,,
"INCOME_4","Employee income earners (no.)","SA3","Statistical Area Level 3","21204","Dandenong","A","Annual","2014","2014",81446,,
"INCOME_4","Employee income earners (no.)","SA3","Statistical Area Level 3","21204","Dandenong","A","Annual","2015","2015",85551,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","40204","Salisbury","A","Annual","2011","2011",40319,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","40204","Salisbury","A","Annual","2012","2012",41976,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","40204","Salisbury","A","Annual","2013","2013",43000,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","40204","Salisbury","A","Annual","2014","2014",44065,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","40204","Salisbury","A","Annual","2015","2015",44950,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","60201","Launceston","A","Annual","2011","2011",42119,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","60201","Launceston","A","Annual","2012","2012",43792,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","60201","Launceston","A","Annual","2013","2013",45734,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","60201","Launceston","A","Annual","2014","2014",46917,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","60201","Launceston","A","Annual","2015","2015",48461,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","20904","Whittlesea - Wallan","A","Annual","2011","2011",41447,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","20904","Whittlesea - Wallan","A","Annual","2012","2012",43102,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","20904","Whittlesea - Wallan","A","Annual","2013","2013",44258,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","20904","Whittlesea - Wallan","A","Annual","2014","2014",45000,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","20904","Whittlesea - Wallan","A","Annual","2015","2015",45975,,
"INCOME_22","Employee income as main source of income (%)","SA3","Statistical Area Level 3","20103","Maryborough - Pyrenees","A","Annual","2011","2011",70.9,,
"INCOME_22","Employee income as main source of income (%)","SA3","Statistical Area Level 3","20103","Maryborough - Pyrenees","A","Annual","2012","2012",71.4,,
"INCOME_22","Employee income as main source of income (%)","SA3","Statistical Area Level 3","20103","Maryborough - Pyrenees","A","Annual","2013","2013",71.5,,
"INCOME_22","Employee income as main source of income (%)","SA3","Statistical Area Level 3","20103","Maryborough - Pyrenees","A","Annual","2014","2014",71.6,,
"INCOME_22","Employee income as main source of income (%)","SA3","Statistical Area Level 3","20103","Maryborough - Pyrenees","A","Annual","2015","2015",70.5,,
"INCOME_22","Employee income as main source of income (%)","SA3","Statistical Area Level 3","30504","Brisbane Inner - West","A","Annual","2011","2011",79,,
"INCOME_22","Employee income as main source of income (%)","SA3","Statistical Area Level 3","30504","Brisbane Inner - West","A","Annual","2012","2012",79,,
"INCOME_22","Employee income as main source of income (%)","SA3","Statistical Area Level 3","30504","Brisbane Inner - West","A","Annual","2013","2013",78.3,,
"INCOME_22","Employee income as main source of income (%)","SA3","Statistical Area Level 3","30504","Brisbane Inner - West","A","Annual","2014","2014",77.7,,
"INCOME_22","Employee income as main source of income (%)","SA3","Statistical Area Level 3","30504","Brisbane Inner - West","A","Annual","2015","2015",77.3,,
"INCOME_17","Median total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","50602","Belmont - Victoria Park","A","Annual","2011","2011",45861,,
"INCOME_17","Median total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","50602","Belmont - Victoria Park","A","Annual","2012","2012",49144,,
"INCOME_17","Median total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","50602","Belmont - Victoria Park","A","Annual","2013","2013",52390,,
"INCOME_17","Median total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","50602","Belmont - Victoria Park","A","Annual","2014","2014",52764,,
"INCOME_17","Median total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","50602","Belmont - Victoria Park","A","Annual","2015","2015",53233,,
"INCOME_18","Total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","70205","Katherine","A","Annual","2011","2011",278749688,,
"INCOME_18","Total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","70205","Katherine","A","Annual","2012","2012",303988342,,
"INCOME_18","Total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","70205","Katherine","A","Annual","2013","2013",324393904,,
"INCOME_18","Total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","70205","Katherine","A","Annual","2014","2014",342120032,,
"INCOME_18","Total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","70205","Katherine","A","Annual","2015","2015",348548695,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","21704","Warrnambool","A","Annual","2011","2011",39972,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","21704","Warrnambool","A","Annual","2012","2012",41227,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","21704","Warrnambool","A","Annual","2013","2013",42319,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","21704","Warrnambool","A","Annual","2014","2014",43583,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","21704","Warrnambool","A","Annual","2015","2015",44496,,
"INCOME_36","Mean total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","12701","Bringelly - Green Valley","A","Annual","2011","2011",45981,,
"INCOME_36","Mean total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","12701","Bringelly - Green Valley","A","Annual","2012","2012",48366,,
"INCOME_36","Mean total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","12701","Bringelly - Green Valley","A","Annual","2013","2013",50680,,
"INCOME_36","Mean total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","12701","Bringelly - Green Valley","A","Annual","2014","2014",52407,,
"INCOME_36","Mean total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","12701","Bringelly - Green Valley","A","Annual","2015","2015",54072,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","70204","East Arnhem","A","Annual","2011","2011",49390,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","70204","East Arnhem","A","Annual","2012","2012",54663,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","70204","East Arnhem","A","Annual","2013","2013",55634,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","70204","East Arnhem","A","Annual","2014","2014",51524,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","70204","East Arnhem","A","Annual","2015","2015",50379,,
"INCOME_36","Mean total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","30501","Brisbane Inner","A","Annual","2011","2011",61737,,
"INCOME_36","Mean total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","30501","Brisbane Inner","A","Annual","2012","2012",67633,,
"INCOME_36","Mean total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","30501","Brisbane Inner","A","Annual","2013","2013",70829,,
"INCOME_36","Mean total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","30501","Brisbane Inner","A","Annual","2014","2014",73007,,
"INCOME_36","Mean total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","30501","Brisbane Inner","A","Annual","2015","2015",73727,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","10701","Dapto - Port Kembla","A","Annual","2011","2011",49055,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","10701","Dapto - Port Kembla","A","Annual","2012","2012",51286,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","10701","Dapto - Port Kembla","A","Annual","2013","2013",51997,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","10701","Dapto - Port Kembla","A","Annual","2014","2014",53255,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","10701","Dapto - Port Kembla","A","Annual","2015","2015",54297,,
"INCOME_3","Total employee income ($)","SA3","Statistical Area Level 3","50705","Rockingham","A","Annual","2011","2011",2913679072,,
"INCOME_3","Total employee income ($)","SA3","Statistical Area Level 3","50705","Rockingham","A","Annual","2012","2012",3461179400,,
"INCOME_3","Total employee income ($)","SA3","Statistical Area Level 3","50705","Rockingham","A","Annual","2013","2013",3967680718,,
"INCOME_3","Total employee income ($)","SA3","Statistical Area Level 3","50705","Rockingham","A","Annual","2014","2014",4249130331,,
"INCOME_3","Total employee income ($)","SA3","Statistical Area Level 3","50705","Rockingham","A","Annual","2015","2015",4576625007,,
"INCOME_20","Employee income earners - median age (years)","SA3","Statistical Area Level 3","31603","Maroochy","A","Annual","2011","2011",37,,
"INCOME_20","Employee income earners - median age (years)","SA3","Statistical Area Level 3","31603","Maroochy","A","Annual","2012","2012",38,,
"INCOME_20","Employee income earners - median age (years)","SA3","Statistical Area Level 3","31603","Maroochy","A","Annual","2013","2013",38,,
"INCOME_20","Employee income earners - median age (years)","SA3","Statistical Area Level 3","31603","Maroochy","A","Annual","2014","2014",39,,
"INCOME_20","Employee income earners - median age (years)","SA3","Statistical Area Level 3","31603","Maroochy","A","Annual","2015","2015",39,,
"INCOME_4","Employee income earners (no.)","SA3","Statistical Area Level 3","40303","Mitcham","A","Annual","2011","2011",30507,,
"INCOME_4","Employee income earners (no.)","SA3","Statistical Area Level 3","40303","Mitcham","A","Annual","2012","2012",30768,,
"INCOME_4","Employee income earners (no.)","SA3","Statistical Area Level 3","40303","Mitcham","A","Annual","2013","2013",31476,,
"INCOME_4","Employee income earners (no.)","SA3","Statistical Area Level 3","40303","Mitcham","A","Annual","2014","2014",32099,,
"INCOME_4","Employee income earners (no.)","SA3","Statistical Area Level 3","40303","Mitcham","A","Annual","2015","2015",32831,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","21603","Shepparton","A","Annual","2011","2011",43,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","21603","Shepparton","A","Annual","2012","2012",43,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","21603","Shepparton","A","Annual","2013","2013",43,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","21603","Shepparton","A","Annual","2014","2014",44,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","21603","Shepparton","A","Annual","2015","2015",43,,
"INCOME_3","Total employee income ($)","SA3","Statistical Area Level 3","50603","Canning","A","Annual","2011","2011",2422881023,,
"INCOME_3","Total employee income ($)","SA3","Statistical Area Level 3","50603","Canning","A","Annual","2012","2012",2724060340,,
"INCOME_3","Total employee income ($)","SA3","Statistical Area Level 3","50603","Canning","A","Annual","2013","2013",3006380060,,
"INCOME_3","Total employee income ($)","SA3","Statistical Area Level 3","50603","Canning","A","Annual","2014","2014",3110047182,,
"INCOME_3","Total employee income ($)","SA3","Statistical Area Level 3","50603","Canning","A","Annual","2015","2015",3220642253,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","50301","Cottesloe - Claremont","A","Annual","2011","2011",83711,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","50301","Cottesloe - Claremont","A","Annual","2012","2012",89919,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","50301","Cottesloe - Claremont","A","Annual","2013","2013",94571,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","50301","Cottesloe - Claremont","A","Annual","2014","2014",98954,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","50301","Cottesloe - Claremont","A","Annual","2015","2015",103168,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","51103","Goldfields","A","Annual","2011","2011",37,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","51103","Goldfields","A","Annual","2012","2012",37,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","51103","Goldfields","A","Annual","2013","2013",38,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","51103","Goldfields","A","Annual","2014","2014",39,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","51103","Goldfields","A","Annual","2015","2015",39,,
"INCOME_20","Employee income earners - median age (years)","SA3","Statistical Area Level 3","10402","Coffs Harbour","A","Annual","2011","2011",41,,
"INCOME_20","Employee income earners - median age (years)","SA3","Statistical Area Level 3","10402","Coffs Harbour","A","Annual","2012","2012",42,,
"INCOME_20","Employee income earners - median age (years)","SA3","Statistical Area Level 3","10402","Coffs Harbour","A","Annual","2013","2013",42,,
"INCOME_20","Employee income earners - median age (years)","SA3","Statistical Area Level 3","10402","Coffs Harbour","A","Annual","2014","2014",42,,
"INCOME_20","Employee income earners - median age (years)","SA3","Statistical Area Level 3","10402","Coffs Harbour","A","Annual","2015","2015",42,,
"INCOME_36","Mean total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","21203","Casey - South","A","Annual","2011","2011",45180,,
"INCOME_36","Mean total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","21203","Casey - South","A","Annual","2012","2012",47304,,
"INCOME_36","Mean total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","21203","Casey - South","A","Annual","2013","2013",48407,,
"INCOME_36","Mean total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","21203","Casey - South","A","Annual","2014","2014",49425,,
"INCOME_36","Mean total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","21203","Casey - South","A","Annual","2015","2015",50284,,
"INCOME_18","Total income (excl. Government pensions and allowances) ($)","SA3","Statistical Area Level 3","11503","Hawkesbury","A","Annual","2011","2011",709949217,,
